DATAFLOW,LAST UPDATE,freq,indic_il,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,MT,2020,30.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,MT,2021,31.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,MT,2022,31.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NL,2014,26.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NL,2015,26.7,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NL,2016,26.9,b
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NL,2017,27.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NL,2018,27.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NL,2019,26.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NL,2020,28.2,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NL,2021,26.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NL,2022,26.3,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NO,2014,23.5,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NO,2015,23.9,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NO,2016,25.0,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NO,2017,26.1,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NO,2018,24.8,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NO,2019,25.4,
ESTAT:ILC_DI12(1.0),01/03/24 23:00:00,A,GINI_HND,NO,2020,25.3,
